slug,decoded_slug,primary_business_name,primary_platform,enterprise_active,hydreight_active,both_active,enterprise_business_name,hydreight_business_name,enterprise_status,hydreight_status,enterprise_page_title,hydreight_page_title,enterprise_url,hydreight_url,tested_at
NDg4,488,Dripbar Direct - San Angelo,Enterprise,True,False,False,Dripbar Direct - San Angelo,,ACTIVE,ERROR_PAGE,Dripbar Direct - San Angelo,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg4,https://booking.hydreight.com/b/NDg4,2025-06-28T22:21:36.552411
NDg5,489,Dripbar Direct - Statesboro,Enterprise,True,False,False,Dripbar Direct - Statesboro,,ACTIVE,ERROR_PAGE,Dripbar Direct - Statesboro,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg5,https://booking.hydreight.com/b/NDg5,2025-06-28T22:21:49.446251
NDkw,490,Dripbar Direct - Alamo Ranch SATX,Enterprise,True,False,False,Dripbar Direct - Alamo Ranch SATX,,ACTIVE,ERROR_PAGE,Dripbar Direct - Alamo Ranch SATX,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDkw,https://booking.hydreight.com/b/NDkw,2025-06-28T22:22:01.907590
NDkx,491,Dripbar Direct - Bowling Green,Enterprise,True,False,False,Dripbar Direct - Bowling Green,,ACTIVE,ERROR_PAGE,Dripbar Direct - Bowling Green,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDkx,https://booking.hydreight.com/b/NDkx,2025-06-28T22:22:15.758531
NDky,492,Dripbar Direct - Hammond,Enterprise,True,False,False,Dripbar Direct - Hammond,,ACTIVE,ERROR_PAGE,Dripbar Direct - Hammond,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDky,https://booking.hydreight.com/b/NDky,2025-06-28T22:22:28.643054
NDkz,493,Optimal Lean Life,Enterprise,True,False,False,Optimal Lean Life,,ACTIVE,ERROR_PAGE,Optimal Lean Life,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDkz,https://booking.hydreight.com/b/NDkz,2025-06-28T22:22:40.392547
NDk2,496,Desert IV Hydration,Hydreight,False,True,False,,Desert IV Hydration,ERROR_PAGE,ACTIVE,undefined,Desert IV Hydration,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDk2,https://booking.hydreight.com/b/NDk2,2025-06-28T22:23:18.862990
NTEw,510,Rescue Nurse IV,Hydreight,False,True,False,,Rescue Nurse IV,ERROR_PAGE,ACTIVE,undefined,Rescue Nurse IV,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTEw,https://booking.hydreight.com/b/NTEw,2025-06-28T22:26:23.341778
NTEx,511,"LAS IV Therapy, LLC",Hydreight,False,True,False,,"LAS IV Therapy, LLC",ERROR_PAGE,ACTIVE,undefined,"LAS IV Therapy, LLC",https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTEx,https://booking.hydreight.com/b/NTEx,2025-06-28T22:26:35.983048
NTEy,512,IV Fusion & Wellness of Augusta,Hydreight,False,True,False,,IV Fusion & Wellness of Augusta,ERROR_PAGE,ACTIVE,undefined,IV Fusion & Wellness of Augusta,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTEy,https://booking.hydreight.com/b/NTEy,2025-06-28T22:26:50.215831
NTE0,514,Ocean Bay Aesthetics,Hydreight,False,True,False,,Ocean Bay Aesthetics,ERROR_PAGE,ACTIVE,undefined,Ocean Bay Aesthetics,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTE0,https://booking.hydreight.com/b/NTE0,2025-06-28T22:27:17.597353
NTIw,520,Beauty & Wellness IV Clinic,Hydreight,False,True,False,,Beauty & Wellness IV Clinic,ERROR_PAGE,ACTIVE,undefined,Beauty & Wellness IV Clinic,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTIw,https://booking.hydreight.com/b/NTIw,2025-06-28T22:28:34.840776
